THIN INVESTIGATION ENTRIES AUDIT
================================

Summary: 0-item=26, 1-item=225, 2-item=0, 3-item=168, TOTAL=419


=== 0 CONTENT ITEM(S) ===
c.ts   | cia-dark-history                                           | NO TITLE
c.ts   | climate-change-coverup                                     | NO TITLE
c.ts   | corporate-consolidation                                    | NO TITLE
c.ts   | corporate-labor                                            | NO TITLE
c.ts   | covid-disinfo                                              | NO TITLE
c.ts   | covid-vaccine-profits                                      | NO TITLE
d.ts   | drug-pricing-crisis                                        | NO TITLE
e.ts   | el-paso-massacre                                           | NO TITLE
e.ts   | evidence-destruction                                       | NO TITLE
h.ts   | healthcare-profiteering                                    | NO TITLE
i.ts   | influencer-abuse                                           | NO TITLE
i.ts   | infrastructure-failures                                    | NO TITLE
l.ts   | las-vegas-shooting                                         | NO TITLE
m.ts   | mass-shootings                                             | NO TITLE
m.ts   | medical-misinfo                                            | NO TITLE
o.ts   | operation-chaos                                            | NO TITLE
o.ts   | opioid-distribution                                        | NO TITLE
o.ts   | oversight-abuse                                            | NO TITLE
o.ts   | oxford-shooting                                            | NO TITLE
p.ts   | parental-accountability                                    | NO TITLE
p.ts   | pharmaceutical-corruption                                  | NO TITLE
p.ts   | police-accountability                                      | NO TITLE
p.ts   | police-brutality-crisis                                    | NO TITLE
p.ts   | police-reform                                              | NO TITLE
s.ts   | syrian-chemical-weapons                                    | NO TITLE
w.ts   | world-bank                                                 | NO TITLE

=== 1 CONTENT ITEM(S) ===
c.ts   | cia-origins                                                | CIA Origins
c.ts   | cia-tape-destruction                                       | CIA Tape Destruction
c.ts   | civil-rights                                               | Civil Rights
c.ts   | climate-coverup                                            | Climate Coverup
c.ts   | climate-denial-network                                     | Climate Denial Network
c.ts   | climate-disinformation                                     | Climate Disinformation
c.ts   | climate-obstruction                                        | Climate Obstruction
c.ts   | columbia-hca-fraud                                         | Columbia Hca Fraud
c.ts   | columbus-legacy                                            | Columbus Legacy
c.ts   | congressional-age                                          | Congressional Age
c.ts   | congressional-conflicts                                    | Congressional Conflicts
c.ts   | congressional-corruption                                   | Congressional Corruption
c.ts   | congressional-obstruction                                  | Congressional Obstruction
c.ts   | congressional-perjury                                      | Congressional Perjury
c.ts   | congressional-trading                                      | Congressional Trading
c.ts   | corporate-capture                                          | Corporate Capture
c.ts   | corporate-corruption                                       | Corporate Corruption
c.ts   | corporate-fraud-scandals                                   | Corporate Fraud Scandals
c.ts   | corporate-influence                                        | Corporate Influence
c.ts   | corporate-lobbying                                         | Corporate Lobbying
c.ts   | corporate-surveillance                                     | Corporate Surveillance
c.ts   | corporate-tax-avoidance                                    | Corporate Tax Avoidance
c.ts   | corporate-union-busting                                    | Corporate Union Busting
c.ts   | corporate-wage-theft                                       | Corporate Wage Theft
c.ts   | corporate-water-theft                                      | Corporate Water Theft
c.ts   | covid-corruption                                           | Covid Corruption
c.ts   | crypto-fraud-epidemic                                      | Crypto Fraud Epidemic
d.ts   | defense-tech-oligarchy                                     | Defense Tech Oligarchy
d.ts   | disinformation                                             | Disinformation
d.ts   | domestic-extremism                                         | Domestic Extremism
d.ts   | donor-crimes                                               | Donor Crimes
d.ts   | drone-strike-program                                       | Drone Strike Program
d.ts   | dupont-crimes                                              | Dupont Crimes
e.ts   | educational-propaganda                                     | Educational Propaganda
e.ts   | egypt-dictatorship                                         | Egypt Dictatorship
e.ts   | elite-coordination                                         | Elite Coordination
e.ts   | epipen-price-gouging                                       | Epipen Price Gouging
e.ts   | eric-garner-death                                          | Eric Garner Death
e.ts   | ev-fraud                                                   | EV Fraud
e.ts   | exxon-climate-fraud                                        | Exxon Climate Fraud
e.ts   | exxon-valdez                                               | Exxon Valdez
f.ts   | family-separation-policy                                   | Family Separation Policy
f.ts   | far-right                                                  | Far Right
f.ts   | far-right-media                                            | Far Right Media
f.ts   | fast-food-labor                                            | Fast Food Labor
f.ts   | fbi-assassinations                                         | FBI Assassinations
f.ts   | ferguson-doj                                               | Ferguson DOJ
f.ts   | financial-crisis-profiteering                              | Financial Crisis Profiteering
f.ts   | foreign-bribery                                            | Foreign Bribery
f.ts   | foreign-interference                                       | Foreign Interference
f.ts   | fossil-fuel-crimes                                         | Fossil Fuel Crimes
f.ts   | fossil-fuel-lobbying                                       | Fossil Fuel Lobbying
